Wall time,Step,Value
1589158173.6621788,3264000,-1695.2342529296875
1589158225.7772717,3288000,-1620.6898193359375
1589158355.3521805,3348000,-1614.3426513671875
1589158405.1832328,3372000,-1451.9232177734375
1589158509.729965,3420000,-1531.5384521484375
1589158637.1375308,3480000,-1450.3564453125
1589158689.3165681,3504000,-1452.728759765625
1589158714.1620507,3516000,-1468.8287353515625
1589158790.4231353,3552000,-1424.4398193359375
1589158842.2566524,3576000,-1317.1954345703125
1589158866.9354234,3588000,-1336.773193359375
1589158895.412364,3600000,-1346.888427734375
1589158943.811124,3624000,-1313.4232177734375
1589158971.363583,3636000,-1272.5467529296875
1589158996.1430094,3648000,-1280.4842529296875
1589159098.0146842,3696000,-1269.1453857421875
1589159126.0606444,3708000,-1247.6676025390625
1589159175.898898,3732000,-1236.6954345703125
1589159253.7053442,3768000,-1226.478759765625
1589159359.49109,3816000,-1192.567626953125
1589159384.284805,3828000,-1164.31201171875
1589159409.4115343,3840000,-1130.5286865234375
1589159437.282127,3852000,-1159.146728515625
1589159486.5822794,3876000,-1177.1453857421875
1589159562.7139423,3912000,-1097.3009033203125
1589159590.5168924,3924000,-1130.1551513671875
1589159615.7969859,3936000,-1108.017578125
1589159692.2813394,3972000,-1093.978759765625
1589159716.8212824,3984000,-1083.83984375
1589159770.075712,4008000,-1079.4176025390625
1589159925.233464,4080000,-1041.5787353515625
1589159978.0899024,4104000,-1040.3468017578125
1589160053.0476623,4140000,-1004.1509399414062
1589160077.1183743,4152000,-1028.15087890625
1589160128.5396662,4176000,-1011.325927734375
1589160152.4328656,4188000,-1008.3787231445312
1589160279.9707012,4248000,-991.9134521484375
1589160304.436878,4260000,-1004.4620361328125
1589160355.6258686,4284000,-1004.3092651367188
1589160404.3787477,4308000,-1016.5509033203125
1589160431.4811668,4320000,-1023.6634521484375
1589160455.6562283,4332000,-1018.7398071289062
1589160532.1548073,4368000,-1011.0953979492188
1589160556.5019393,4380000,-1005.4231567382812
1589160631.9801657,4416000,-977.08984375
1589160658.7512534,4428000,-973.2759399414062
1589160707.2478876,4452000,-1011.0953979492188
1589160734.999689,4464000,-1009.5009155273438
1589160784.1048124,4488000,-1009.22314453125
1589160887.9971225,4536000,-974.7384033203125
1589160911.9035296,4548000,-971.1176147460938
1589160935.774496,4560000,-974.0787353515625
1589160988.0170374,4584000,-958.9176025390625
1589161012.6063037,4596000,-939.7953491210938
1589161088.855568,4632000,-917.9287109375
1589161116.1326065,4644000,-917.94677734375
1589161139.9952326,4656000,-917.4009399414062
1589161164.3636413,4668000,-934.33984375
1589161216.7458394,4692000,-907.3064575195312
1589161241.1643336,4704000,-904.6009521484375
1589161268.5666409,4716000,-898.9217529296875
1589161292.4451134,4728000,-904.9176025390625
1589161518.17825,4836000,-872.7286987304688
1589161542.5583143,4848000,-868.2564697265625
1589161593.8431664,4872000,-870.8508911132812
1589161670.2456827,4908000,-868.1453857421875
1589161847.9508507,4992000,-850.0675659179688
1589161875.237956,5004000,-860.0050659179688
1589161974.7690213,5052000,-856.2509155273438
1589161998.796109,5064000,-861.2120361328125
1589162025.7486393,5076000,-903.1008911132812
1589162073.5516684,5100000,-861.8064575195312
1589162125.310239,5124000,-844.4564819335938
1589162224.9107797,5172000,-819.2509155273438
1589162449.0277538,5280000,-821.084228515625
1589162476.1447635,5292000,-836.1051025390625
1589162500.7020965,5304000,-819.2953491210938
1589162524.329095,5316000,-813.3453369140625
1589162575.3491702,5340000,-815.8619995117188
1589162600.1263232,5352000,-802.3564453125
1589162675.724468,5388000,-784.0509033203125
1589162751.2976737,5424000,-779.4176025390625
1589162928.9744606,5508000,-785.2258911132812
1589162953.1471777,5520000,-794.517578125
1589162977.227107,5532000,-766.950927734375
1589163004.453484,5544000,-767.9717407226562
