"","4","12","13","24","41","42","43","45","48","50","68","74","75","79","87","88","90","100","107","113","114","116","120","125","127","128","137","140","141","142","143","144","148","151","152","158","161","162","163","164","166","170","186","209","211","224","229","230","231","232","233","234","236","237","238","239","243","244","246","249","261","262","263"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3176.47058823529,1862.06896551724,NA,3600,NA,NA,NA,1800,NA,NA,3176.47058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,1384.61538461538,362.41610738255,NA,NA,NA,NA,2571.42857142857,2076.92307692308,2842.10526315789,620.689655172414,NA,NA,3000,402.985074626866,562.5,1588.23529411765,1102.04081632653,2571.42857142857,NA,818.181818181818,NA,NA,750,NA,NA,1862.06896551724,1421.05263157895,NA,NA,NA,1687.5,NA,NA,NA,331.288343558282,562.5,580.645161290323,1173.91304347826,1125,NA,794.117647058824,931.034482758621,1862.06896551724,1018.8679245283,NA,2000,729.72972972973,100.558659217877,3600,1636.36363636364,750,NA,NA,NA,NA,NA,NA,331.288343558282,650.602409638554,830.769230769231,NA,NA
"24",NA,NA,NA,NA,NA,NA,3375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1542.85714285714,2842.10526315789,NA,NA,NA,NA,NA,3176.47058823529,2842.10526315789,2842.10526315789,NA,NA,NA,NA,NA,NA,NA,NA,2571.42857142857,NA,NA,NA,NA,1255.81395348837,1148.93617021277,534.653465346535,514.285714285714,NA,NA,2842.10526315789,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2347.82608695652,NA,NA,NA,NA,NA,NA,NA,NA,2454.54545454545,2347.82608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1173.91304347826,2454.54545454545,701.298701298701,1173.91304347826,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,3600,NA,NA,NA,254.716981132075,NA,2347.82608695652,NA,1928.57142857143,2700,1000,NA,NA,NA,NA,1148.93617021277,NA,NA,NA,NA,NA,NA,NA,NA,NA,519.230769230769,650.602409638554,317.647058823529,650.602409638554,NA,NA,NA,NA,NA,145.161290322581,267.326732673267,337.5,1542.85714285714,1687.5,771.428571428571,1542.85714285714,NA,NA,NA,3176.47058823529,504.672897196262,3375,NA,2842.10526315789,1038.46153846154,142.105263157895,191.489361702128,388.489208633094,421.875,NA,NA,1500,NA,NA,1800,885.245901639344
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,593.406593406593,NA,NA,NA,857.142857142857,NA,180,253.521126760563,177.631578947368,NA,1636.36363636364,NA,NA,1350,760.56338028169,367.34693877551,1421.05263157895,2347.82608695652,NA,NA,NA,NA,NA,NA,1125,1058.82352941176,1500,274.111675126904,400,NA,NA,NA,NA,2454.54545454545,90.4522613065327,217.741935483871,175.324675324675,380.281690140845,2250,295.081967213115,435.483870967742,NA,NA,NA,1928.57142857143,123.853211009174,574.468085106383,NA,915.254237288136,428.571428571429,586.95652173913,350.649350649351,900,915.254237288136,NA,2700,165.644171779141,1800,2000,NA,NA
