Wall time,Step,Value
1589170285.6290321,9036000,869.3403930664062
1589170333.8470843,9060000,773.0777587890625
1589170384.3672547,9084000,994.0687255859375
1589170459.366312,9120000,705.8424072265625
1589170483.5650268,9132000,760.5404663085938
1589170534.2820008,9156000,889.0904541015625
1589170608.592808,9192000,1084.150390625
1589170632.501224,9204000,616.994873046875
1589170659.5848951,9216000,744.1929321289062
1589170707.1706018,9240000,676.8790893554688
1589170734.254286,9252000,692.961669921875
1589170758.6091433,9264000,538.9495239257812
1589170809.3500185,9288000,779.5673828125
1589170833.277881,9300000,576.1278686523438
1589170857.1236477,9312000,677.7485961914062
1589170982.190205,9372000,513.0069580078125
1589171081.450642,9420000,734.91064453125
1589171108.5526536,9432000,1109.7490234375
1589171156.9515927,9456000,716.9827880859375
1589171208.4171464,9480000,626.9849853515625
1589171259.6046815,9504000,545.0850219726562
1589171283.7835748,9516000,431.41070556640625
1589171307.4889393,9528000,606.1165771484375
1589171334.4814076,9540000,522.0631103515625
1589171358.3844116,9552000,480.9742126464844
1589171382.4072495,9564000,761.4349975585938
1589171433.211085,9588000,747.5770874023438
1589171483.8603876,9612000,562.983154296875
1589171531.5309181,9636000,673.0895385742188
1589171605.726451,9672000,850.4281616210938
1589171656.3247917,9696000,688.2625732421875
1589171680.0220757,9708000,788.04931640625
1589171706.7620218,9720000,795.2410888671875
1589171804.8816807,9768000,649.5463256835938
1589171855.6641974,9792000,597.337890625
1589171879.7319012,9804000,356.14410400390625
1589171930.2586637,9828000,568.83935546875
1589172005.1281784,9864000,426.01531982421875
1589172053.4984343,9888000,357.46148681640625
1589172080.3008547,9900000,407.7643127441406
1589172103.9711576,9912000,700.7289428710938
1589172179.0382326,9948000,475.980224609375
1589172253.5536091,9984000,323.9876403808594
1589172278.0794663,9996000,505.7442321777344
1589172329.7371356,10020000,411.8111877441406
1589172382.0399182,10044000,511.74383544921875
1589172430.6604917,10068000,685.9270629882812
1589172556.4608092,10128000,493.923583984375
1589172607.7985036,10152000,552.77099609375
1589172632.5708728,10164000,476.08660888671875
1589172656.7407737,10176000,476.66510009765625
1589172683.3260126,10188000,574.4208984375
1589172757.884923,10224000,468.0345764160156
1589172908.8365154,10296000,213.50425720214844
1589172957.013042,10320000,551.318359375
1589172984.303557,10332000,412.6708984375
1589173008.171618,10344000,440.48870849609375
1589173031.874738,10356000,592.6692504882812
1589173058.6939065,10368000,540.3287353515625
1589173157.9804182,10416000,497.6613464355469
1589173208.523538,10440000,530.6821899414062
1589173232.0992253,10452000,682.6600341796875
1589173306.8613465,10488000,436.8900451660156
1589173330.5650885,10500000,633.8365478515625
1589173357.1868505,10512000,506.6833801269531
1589173381.2921164,10524000,611.9817504882812
1589173405.2894287,10536000,361.91973876953125
1589173455.9164171,10560000,581.161865234375
1589173479.6637394,10572000,658.7172241210938
1589173506.661581,10584000,1303.2044677734375
1589173530.882375,10596000,629.8659057617188
1589173582.3746278,10620000,1090.7337646484375
1589173657.8822336,10656000,659.2306518554688
1589173706.3858125,10680000,584.539306640625
1589173733.3315265,10692000,688.2637939453125
1589173781.6678689,10716000,258.614501953125
1589173809.0569637,10728000,373.35693359375
